feature-1,feature-2,feature-3,feature-4,feature-5,feature-6,feature-7,feature-8,feature-9,feature-10,feature-11,feature-12,feature-13,feature-14,feature-15,feature-16,feature-17,feature-18,feature-19,feature-20,feature-21,output
"['0.35561755299568176', '1.0157384872436523', '5.827241693623364e-07']","['0.47137853503227234', '0.9608248472213745', '-0.13447390496730804']","['0.5138881802558899', '0.7790988683700562', '-0.19249768555164337']","['0.4462825357913971', '0.6106566786766052', '-0.2282322198152542']","['0.36396104097366333', '0.463636577129364', '-0.2562735974788666']","['0.6339733004570007', '0.5773555040359497', '-0.10620226711034775']","['0.7113646268844604', '0.36710432171821594', '-0.18051883578300476']","['0.7353857755661011', '0.22854852676391602', '-0.22757172584533691']","['0.7405107021331787', '0.10631465911865234', '-0.2648940086364746']","['0.4796246290206909', '0.5589351058006287', '-0.08770435303449631']","['0.501147449016571', '0.3725506365299225', '-0.23046013712882996']","['0.4720005989074707', '0.4575558304786682', '-0.2939564287662506']","['0.4556508958339691', '0.5460437536239624', '-0.302690327167511']","['0.33844396471977234', '0.5712220668792725', '-0.08456483483314514']","['0.31510233879089355', '0.38577717542648315', '-0.1885879933834076']","['0.28213971853256226', '0.2719962000846863', '-0.2333093285560608']","['0.2511748671531677', '0.16847765445709229', '-0.24714836478233337']","['0.2197529822587967', '0.6100895404815674', '-0.08997984975576401']","['0.2223101407289505', '0.4375905990600586', '-0.15427210927009583']","['0.23077526688575745', '0.3279586136341095', '-0.17741931974887848']","['0.23738700151443481', '0.2168724238872528', '-0.1890973001718521']",hello
"['0.3819994032382965', '1.0290563106536865', '5.269199618851417e-07']","['0.4920649826526642', '0.9683511853218079', '-0.12321272492408752']","['0.5351902842521667', '0.7771968841552734', '-0.1659918874502182']","['0.46507829427719116', '0.6009790897369385', '-0.19272129237651825']","['0.38105884194374084', '0.4629698395729065', '-0.21208126842975616']","['0.6383273601531982', '0.56968092918396', '-0.07557985186576843']","['0.7141318321228027', '0.3624788224697113', '-0.14158552885055542']","['0.7388707399368286', '0.2225933074951172', '-0.1826573610305786']","['0.7448559999465942', '0.10708177089691162', '-0.2097412794828415']","['0.4922981262207031', '0.5547075867652893', '-0.0578373484313488']","['0.5100976228713989', '0.3515201807022095', '-0.1849118024110794']","['0.49128058552742004', '0.42223060131073', '-0.252221941947937']","['0.48519784212112427', '0.5165036916732788', '-0.26370444893836975']","['0.3585217297077179', '0.5657146573066711', '-0.0530337430536747']","['0.34948909282684326', '0.3794422745704651', '-0.15590868890285492']","['0.35922300815582275', '0.3536069989204407', '-0.19713586568832397']","['0.3781774044036865', '0.339952290058136', '-0.1980486363172531']","['0.24114373326301575', '0.6023135185241699', '-0.05666552111506462']","['0.2486627697944641', '0.4081236720085144', '-0.11231521517038345']","['0.24967868626117706', '0.2855799198150635', '-0.1326521933078766']","['0.2581949830055237', '0.1774868667125702', '-0.13762328028678894']",hello
"['0.37533342838287354', '1.0242773294448853', '4.2244280962222547e-07']","['0.49840110540390015', '0.948409914970398', '-0.11997012794017792']","['0.5463330149650574', '0.7656965851783752', '-0.15207622945308685']","['0.4816783368587494', '0.5841342806816101', '-0.16885650157928467']","['0.41008782386779785', '0.4476779103279114', '-0.17781224846839905']","['0.6750403046607971', '0.5696937441825867', '-0.05333869531750679']","['0.7466093301773071', '0.35636377334594727', '-0.10524684935808182']","['0.7698180675506592', '0.21272343397140503', '-0.1367896944284439']","['0.7768661975860596', '0.09231597185134888', '-0.1581995189189911']","['0.5422748923301697', '0.5485979318618774', '-0.03412504494190216']","['0.5542860627174377', '0.3579045832157135', '-0.14407208561897278']","['0.512461245059967', '0.42008304595947266', '-0.19921033084392548']","['0.48786476254463196', '0.5019197463989258', '-0.20306259393692017']","['0.41490721702575684', '0.5574807524681091', '-0.02873167395591736']","['0.3936727046966553', '0.3868066966533661', '-0.1263815313577652']","['0.38188832998275757', '0.38503265380859375', '-0.15910106897354126']","['0.38146549463272095', '0.39616456627845764', '-0.151387020945549']","['0.3004196286201477', '0.5934443473815918', '-0.03223128616809845']","['0.29413217306137085', '0.4008127450942993', '-0.08774418383836746']","['0.2898890972137451', '0.27364176511764526', '-0.10528495907783508']","['0.29681435227394104', '0.15716159343719482', '-0.1054132953286171']",hello
"['0.4096827507019043', '0.9705339670181274', '2.6290702948017497e-08']","['0.5292114615440369', '0.9262983202934265', '-0.12329860776662827']","['0.6044148206710815', '0.7728589773178101', '-0.17055851221084595']","['0.5495691895484924', '0.5949521660804749', '-0.20177529752254486']","['0.4817006289958954', '0.46782156825065613', '-0.22475463151931763']","['0.7143000960350037', '0.5668777227401733', '-0.09539368748664856']","['0.7889804840087891', '0.356494665145874', '-0.1539151966571808']","['0.8196806311607361', '0.2217157930135727', '-0.18321473896503448']","['0.8348263502120972', '0.10516798496246338', '-0.2023782879114151']","['0.5835350751876831', '0.5263469219207764', '-0.07742748409509659']","['0.6009324789047241', '0.34510570764541626', '-0.19317179918289185']","['0.567398726940155', '0.44600558280944824', '-0.23843081295490265']","['0.5468612313270569', '0.5502705574035645', '-0.23543566465377808']","['0.4598093032836914', '0.5254178047180176', '-0.07030043751001358']","['0.45791131258010864', '0.3839571475982666', '-0.18268533051013947']","['0.44682466983795166', '0.4674180746078491', '-0.20247069001197815']","['0.44224122166633606', '0.542005181312561', '-0.1796666383743286']","['0.3437550961971283', '0.54977947473526', '-0.07169531285762787']","['0.3458525538444519', '0.36419877409935', '-0.1402297466993332']","['0.3488023579120636', '0.25166457891464233', '-0.15704190731048584']","['0.36310017108917236', '0.14954769611358643', '-0.1524147242307663']",hello
"['0.3831506371498108', '1.0153028964996338', '3.5854463931173086e-07']","['0.4997587203979492', '0.9543547630310059', '-0.1221110001206398']","['0.5604813694953918', '0.7758104205131531', '-0.16215968132019043']","['0.5182239413261414', '0.5917143225669861', '-0.189280703663826']","['0.4550246000289917', '0.4466359317302704', '-0.2080436646938324']","['0.6996234655380249', '0.5637628436088562', '-0.059706270694732666']","['0.7676858901977539', '0.3534213900566101', '-0.11886121332645416']","['0.792953372001648', '0.21304649114608765', '-0.15117239952087402']","['0.8016839027404785', '0.10162973403930664', '-0.16958843171596527']","['0.5608775019645691', '0.5430842638015747', '-0.040526606142520905']","['0.5791076421737671', '0.35646218061447144', '-0.1626611053943634']","['0.5403699278831482', '0.44502732157707214', '-0.22111453115940094']","['0.5201854109764099', '0.5390287041664124', '-0.2225443720817566']","['0.4295206367969513', '0.552588701248169', '-0.034404486417770386']","['0.42567676305770874', '0.40601205825805664', '-0.14703935384750366']","['0.42658695578575134', '0.4706306755542755', '-0.17465828359127045']","['0.44097259640693665', '0.5260165929794312', '-0.15541572868824005']","['0.30686134099960327', '0.5856257081031799', '-0.0366143099963665']","['0.3122103214263916', '0.39703312516212463', '-0.09853991866111755']","['0.30441606044769287', '0.2761324346065521', '-0.11528460681438446']","['0.3117586374282837', '0.15912529826164246', '-0.11077544838190079']",hello
"['0.3982066810131073', '0.9872294068336487', '1.5475426096145384e-07']","['0.5173845887184143', '0.9326592683792114', '-0.11742409318685532']","['0.5839451551437378', '0.7606569528579712', '-0.15630920231342316']","['0.5290629863739014', '0.5728791952133179', '-0.18118278682231903']","['0.4655337333679199', '0.4391782879829407', '-0.19833070039749146']","['0.6998686790466309', '0.5744653344154358', '-0.0699547752737999']","['0.7706054449081421', '0.3695119023323059', '-0.12601909041404724']","['0.8028173446655273', '0.23381584882736206', '-0.1547916978597641']","['0.8190082311630249', '0.12078580260276794', '-0.17068855464458466']","['0.5725821852684021', '0.5451983213424683', '-0.053745049983263016']","['0.6019540429115295', '0.3584918677806854', '-0.17032146453857422']","['0.5691626667976379', '0.4446648955345154', '-0.22060103714466095']","['0.5439204573631287', '0.5453072786331177', '-0.2165508270263672']","['0.4496527314186096', '0.5458365678787231', '-0.048750121146440506']","['0.4517066776752472', '0.40746086835861206', '-0.16155099868774414']","['0.4573785364627838', '0.4890464246273041', '-0.18502555787563324']","['0.46237704157829285', '0.5645089745521545', '-0.16091857850551605']","['0.3319540023803711', '0.569792628288269', '-0.051333751529455185']","['0.3341013789176941', '0.38622769713401794', '-0.11233831197023392']","['0.336212694644928', '0.27423954010009766', '-0.12397223711013794']","['0.34572768211364746', '0.1672590672969818', '-0.11524804681539536']",hello
"['0.37396669387817383', '0.9996978044509888', '2.1380854775543412e-07']","['0.4940759539604187', '0.9395140409469604', '-0.11553006619215012']","['0.5571581125259399', '0.7637490034103394', '-0.15265114605426788']","['0.4974760413169861', '0.5828168392181396', '-0.17936205863952637']","['0.43427935242652893', '0.44146350026130676', '-0.19871267676353455']","['0.6936074495315552', '0.5669125318527222', '-0.06308963894844055']","['0.7622507214546204', '0.35614827275276184', '-0.127208411693573']","['0.7879059314727783', '0.21750688552856445', '-0.1579068899154663']","['0.8020499348640442', '0.10125598311424255', '-0.17323504388332367']","['0.5614213943481445', '0.5400552749633789', '-0.04731851443648338']","['0.5835906863212585', '0.35132238268852234', '-0.1788558065891266']","['0.5417012572288513', '0.4323967397212982', '-0.23536857962608337']","['0.5227687358856201', '0.5284435749053955', '-0.2327093780040741']","['0.4304687976837158', '0.54400235414505', '-0.04382575303316116']","['0.4253501892089844', '0.3967229425907135', '-0.16827355325222015']","['0.42108458280563354', '0.4755188524723053', '-0.19460837543010712']","['0.43181782960891724', '0.5470319986343384', '-0.16827131807804108']","['0.3058607578277588', '0.5675705075263977', '-0.04758872091770172']","['0.309894323348999', '0.38018330931663513', '-0.11580970138311386']","['0.3043701946735382', '0.264489084482193', '-0.13184164464473724']","['0.31231844425201416', '0.1546570062637329', '-0.12342671304941177']",hello
"['0.36694639921188354', '1.0251429080963135', '3.547101243839279e-07']","['0.48403307795524597', '0.9687710404396057', '-0.12551450729370117']","['0.5425850749015808', '0.775378942489624', '-0.16612951457500458']","['0.48779526352882385', '0.5896154046058655', '-0.18981751799583435']","['0.41031596064567566', '0.4435212314128876', '-0.20449890196323395']","['0.673553466796875', '0.5670996308326721', '-0.06717242300510406']","['0.7377678751945496', '0.35001271963119507', '-0.12852472066879272']","['0.7582919597625732', '0.2082880437374115', '-0.1619146317243576']","['0.7632037401199341', '0.09238550066947937', '-0.18325462937355042']","['0.5271603465080261', '0.5472718477249146', '-0.047547757625579834']","['0.548661470413208', '0.3517903685569763', '-0.1723245084285736']","['0.5200385451316833', '0.4521849453449249', '-0.2304145246744156']","['0.505040168762207', '0.5491659045219421', '-0.23185047507286072']","['0.3936786651611328', '0.5569354295730591', '-0.041949253529310226']","['0.3837193250656128', '0.38455134630203247', '-0.1467699408531189']","['0.39652925729751587', '0.38728493452072144', '-0.17692682147026062']","['0.41879376769065857', '0.3812958002090454', '-0.16721327602863312']","['0.27218273282051086', '0.5922351479530334', '-0.045142631977796555']","['0.2794407606124878', '0.400864839553833', '-0.10123874247074127']","['0.27843594551086426', '0.27635136246681213', '-0.117003433406353']","['0.28588271141052246', '0.15350231528282166', '-0.11689493060112']",hello
"['0.4235920011997223', '1.0725090503692627', '2.491629231826664e-07']","['0.5521642565727234', '0.9481195211410522', '-0.14504051208496094']","['0.5914179682731628', '0.7497607469558716', '-0.1847498118877411']","['0.5260640382766724', '0.5611518025398254', '-0.19824913144111633']","['0.41283226013183594', '0.43196070194244385', '-0.19833964109420776']","['0.6593087315559387', '0.5733246803283691', '-0.11378760635852814']","['0.7581732273101807', '0.33423930406570435', '-0.16689039766788483']","['0.7760010957717896', '0.2019575536251068', '-0.18995454907417297']","['0.782492995262146', '0.10194122791290283', '-0.2107974886894226']","['0.5268449783325195', '0.549146831035614', '-0.0723973736166954']","['0.540531575679779', '0.37213554978370667', '-0.12258587777614594']","['0.5250235199928284', '0.518420934677124', '-0.11743123829364777']","['0.5082042217254639', '0.4996774196624756', '-0.10913337022066116']","['0.3986770510673523', '0.5538075566291809', '-0.051602691411972046']","['0.4125954806804657', '0.3808559775352478', '-0.10679544508457184']","['0.4290125370025635', '0.505220353603363', '-0.08600477874279022']","['0.455646276473999', '0.558052659034729', '-0.066693514585495']","['0.2842416763305664', '0.5967286229133606', '-0.048402365297079086']","['0.29147154092788696', '0.38651716709136963', '-0.11439204961061478']","['0.29515284299850464', '0.25752902030944824', '-0.1449778527021408']","['0.32349878549575806', '0.1446409523487091', '-0.16422393918037415']",hello
"['0.39576220512390137', '0.9688295125961304', '3.6525051427815924e-07']","['0.5151071548461914', '0.9173671007156372', '-0.11701977998018265']","['0.5858457088470459', '0.7464317679405212', '-0.1547827422618866']","['0.5381230115890503', '0.5675643086433411', '-0.1796272248029709']","['0.48188093304634094', '0.4320014417171478', '-0.1959238201379776']","['0.7049158215522766', '0.5479536652565002', '-0.055714868009090424']","['0.7718563079833984', '0.35556119680404663', '-0.11270742118358612']","['0.8009000420570374', '0.22050201892852783', '-0.14647549390792847']","['0.8113180994987488', '0.11022132635116577', '-0.16565534472465515']","['0.5739108920097351', '0.5195830464363098', '-0.037268977612257004']","['0.5879974961280823', '0.3417850136756897', '-0.15123578906059265']","['0.5592564344406128', '0.413354754447937', '-0.20584408938884735']","['0.5414973497390747', '0.5032949447631836', '-0.20602421462535858']","['0.4504092335700989', '0.5235321521759033', '-0.03127958998084068']","['0.4559032917022705', '0.3862082064151764', '-0.1413605809211731']","['0.45831048488616943', '0.46143990755081177', '-0.16627731919288635']","['0.46810126304626465', '0.5382705330848694', '-0.14322930574417114']","['0.33384791016578674', '0.5522871017456055', '-0.03336748853325844']","['0.336058646440506', '0.3675323724746704', '-0.09257391095161438']","['0.3376915454864502', '0.2516695261001587', '-0.10486790537834167']","['0.35357895493507385', '0.15110421180725098', '-0.09570638090372086']",hello
